# Time-averaged data for fix rdf_CC_avg
# TimeStep Number-of-rows
# Row c_rdf_CC[1] c_rdf_CC[2] c_rdf_CC[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.0886757 0.00222222
35 2.83112 0.292667 0.01
36 2.91318 1.14517 0.0422222
37 2.99524 2.20097 0.107778
38 3.0773 4.24157 0.241111
39 3.15936 6.50239 0.456667
40 3.24142 9.04765 0.772222
41 3.32348 11.2203 1.18333
42 3.40555 13.1651 1.69
43 3.48761 15.3683 2.31
44 3.56967 16.5057 3.00778
45 3.65173 16.6527 3.74444
46 3.73379 18.2351 4.58778
47 3.81585 18.1495 5.46444
48 3.89791 19.0856 6.42667
49 3.97997 19.0488 7.42778
50 4.06204 20.4 8.54444
51 4.1441 18.8361 9.61778
52 4.22616 19.8347 10.7933
53 4.30822 20.1714 12.0356
54 4.39028 19.8415 13.3044
55 4.47234 19.5081 14.5989
56 4.5544 20.0181 15.9767
57 4.63647 19.5218 17.3689
58 4.71853 17.9165 18.6922
59 4.80059 19.356 20.1722
60 4.88265 19.061 21.68
61 4.96471 19.0879 23.2411
62 5.04677 19.3978 24.88
63 5.12883 18.8397 26.5244
64 5.21089 18.1301 28.1578
65 5.29296 18.2786 29.8567
66 5.37502 17.5136 31.5356
67 5.45708 17.7267 33.2867
68 5.53914 16.4475 34.9611
69 5.6212 15.6345 36.6
70 5.70326 15.6787 38.2922
71 5.78532 15.6722 40.0322
72 5.86739 14.3687 41.6733
73 5.94945 13.9938 43.3167
74 6.03151 12.9539 44.88
75 6.11357 12.5341 46.4344
76 6.19563 12.4499 48.02
77 6.27769 11.0643 49.4667
78 6.35975 10.1682 50.8311
79 6.44181 9.54739 52.1456
80 6.52388 8.95459 53.41
81 6.60594 8.31127 54.6133
82 6.688 7.51836 55.7289
83 6.77006 7.29984 56.8389
84 6.85212 6.74575 57.89
85 6.93418 6.72833 58.9633
86 7.01624 5.95149 59.9356
87 7.09831 5.7836 60.9022
88 7.18037 5.87865 61.9078
89 7.26243 5.8302 62.9278
90 7.34449 5.76642 63.96
91 7.42655 5.55048 64.9756
92 7.50861 5.83822 66.0678
93 7.59067 5.51055 67.1211
94 7.67273 5.2678 68.15
95 7.7548 5.72011 69.2911
96 7.83686 5.58506 70.4289
97 7.91892 5.7831 71.6322
98 8.00098 5.55066 72.8111
99 8.08304 5.74036 74.0556
100 8.1651 6.05175 75.3944
101 8.24716 5.41576 76.6167
102 8.32923 5.76921 77.9444
103 8.41129 5.82202 79.3111
104 8.49335 5.67238 80.6689
105 8.57541 6.09823 82.1567
106 8.65747 5.64366 83.56
107 8.73953 5.73109 85.0122
108 8.82159 5.65468 86.4722
109 8.90365 5.74966 87.9844
110 8.98572 5.37986 89.4256
111 9.06778 5.7761 91.0011
112 9.14984 5.45238 92.5156
113 9.2319 5.72129 94.1333
114 9.31396 5.2116 95.6333
115 9.39602 5.1666 97.1467
116 9.47808 5.37157 98.7478
117 9.56015 5.10098 100.294
118 9.64221 4.85166 101.791
119 9.72427 4.96604 103.349
120 9.80633 4.49731 104.783
121 9.88839 4.43909 106.223
122 9.97045 4.29628 107.64
123 10.0525 4.31138 109.086
124 10.1346 4.26537 110.539
125 10.2166 4.0045 111.926
126 10.2987 4.09243 113.366
127 10.3808 3.90023 114.76
128 10.4628 3.79035 116.137
129 10.5449 3.75525 117.522
130 10.6269 3.58208 118.864
131 10.709 3.56309 120.22
132 10.7911 3.39387 121.531
133 10.8731 3.19829 122.786
134 10.9552 3.39385 124.137
135 11.0372 3.12032 125.398
136 11.1193 3.08531 126.663
137 11.2014 2.9466 127.89
138 11.2834 2.88111 129.107
139 11.3655 2.95565 130.373
140 11.4476 2.84217 131.609
141 11.5296 2.62061 132.764
142 11.6117 2.63516 133.943
143 11.6937 2.45701 135.058
144 11.7758 2.55518 136.233
145 11.8579 2.21252 137.266
146 11.9399 2.37266 138.388
147 12.022 2.20588 139.446
148 12.104 2.04347 140.439
149 12.1861 2.13596 141.491
150 12.2682 2.12552 142.552
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.177732 0.00444444
35 2.83112 0.169017 0.00888889
36 2.91318 1.30933 0.0455556
37 2.99524 2.43745 0.117778
38 3.0773 3.73351 0.234444
39 3.15936 6.87459 0.461111
40 3.24142 9.41588 0.787778
41 3.32348 11.3998 1.20333
42 3.40555 14.3046 1.75111
43 3.48761 14.7222 2.34222
44 3.56967 16.6984 3.04444
45 3.65173 17.567 3.81778
46 3.73379 18.8642 4.68556
47 3.81585 19.4152 5.61889
48 3.89791 18.2322 6.53333
49 3.97997 19.5043 7.55333
50 4.06204 20.1357 8.65
51 4.1441 20.5607 9.81556
52 4.22616 19.8095 10.9833
53 4.30822 19.1574 12.1567
54 4.39028 19.3876 13.39
55 4.47234 19.6697 14.6889
56 4.5544 19.6514 16.0344
57 4.63647 19.8733 17.4444
58 4.71853 19.9746 18.9122
59 4.80059 19.5156 20.3967
60 4.88265 18.7908 21.8756
61 4.96471 18.7929 23.4044
62 5.04677 18.2413 24.9378
63 5.12883 18.3093 26.5278
64 5.21089 18.8579 28.2178
65 5.29296 18.4935 29.9278
66 5.37502 17.7441 31.62
67 5.45708 16.7085 33.2622
68 5.53914 16.6473 34.9478
69 5.6212 16.0465 36.6211
70 5.70326 16.1953 38.36
71 5.78532 14.6517 39.9789
72 5.86739 14.992 41.6822
73 5.94945 14.0561 43.3244
74 6.03151 13.4438 44.9389
75 6.11357 12.5092 46.4822
76 6.19563 11.6968 47.9644
77 6.27769 10.9409 49.3878
78 6.35975 10.1289 50.74
79 6.44181 9.51811 52.0433
80 6.52388 8.5652 53.2467
81 6.60594 8.15449 54.4211
82 6.688 7.83424 55.5778
83 6.77006 7.22123 56.67
84 6.85212 6.70472 57.7089
85 6.93418 6.623 58.76
86 7.01624 6.08433 59.7489
87 7.09831 6.14692 60.7711
88 7.18037 5.9415 61.7822
89 7.26243 5.38556 62.72
90 7.34449 5.47958 63.6956
91 7.42655 5.69448 64.7322
92 7.50861 5.30685 65.72
93 7.59067 5.38196 66.7433
94 7.67273 5.56426 67.8244
95 7.7548 5.39083 68.8944
96 7.83686 5.75895 70.0622
97 7.91892 5.72736 71.2478
98 8.00098 5.52115 72.4144
99 8.08304 5.77548 73.66
100 8.1651 5.68585 74.9111
101 8.24716 5.49941 76.1456
102 8.32923 5.7792 77.4689
103 8.41129 5.80355 78.8244
104 8.49335 5.62292 80.1633
105 8.57541 5.72341 81.5522
106 8.65747 5.92815 83.0189
107 8.73953 5.61497 84.4344
108 8.82159 5.73178 85.9067
109 8.90365 5.43982 87.33
110 8.98572 5.63577 88.8322
111 9.06778 5.75937 90.3956
112 9.14984 5.58502 91.9389
113 9.2319 5.52137 93.4922
114 9.31396 5.43217 95.0478
115 9.39602 5.11371 96.5378
116 9.47808 4.83109 97.97
117 9.56015 4.91498 99.4522
118 9.64221 4.97134 100.978
119 9.72427 4.83428 102.487
120 9.80633 4.67858 103.972
121 9.88839 4.73711 105.501
122 9.97045 4.691 107.04
123 10.0525 4.27117 108.464
124 10.1346 4.31627 109.928
125 10.2166 4.00206 111.307
126 10.2987 3.99251 112.704
127 10.3808 4.00564 114.129
128 10.4628 3.68411 115.46
129 10.5449 3.72135 116.826
130 10.6269 3.69301 118.202
131 10.709 3.47019 119.516
132 10.7911 3.30215 120.784
