# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0.00251849 0.000555556
33 2.66699 0.0165315 0.00444444
34 2.74905 0.0399271 0.0144444
35 2.83112 0.0795205 0.0355556
36 2.91318 0.100772 0.0638889
37 2.99524 0.145785 0.107222
38 3.0773 0.187713 0.166111
39 3.15936 0.188228 0.228333
40 3.24142 0.228388 0.307778
41 3.32348 0.212453 0.385556
42 3.40555 0.253056 0.482778
43 3.48761 0.296419 0.602222
44 3.56967 0.317246 0.736111
45 3.65173 0.355945 0.893333
46 3.73379 0.345303 1.05278
47 3.81585 0.362792 1.22778
48 3.89791 0.38969 1.42389
49 3.97997 0.408737 1.63833
50 4.06204 0.374078 1.84278
51 4.1441 0.400374 2.07056
52 4.22616 0.454516 2.33944
53 4.30822 0.460077 2.62222
54 4.39028 0.431689 2.89778
55 4.47234 0.413444 3.17167
56 4.5544 0.491654 3.50944
57 4.63647 0.479059 3.85056
58 4.71853 0.480588 4.205
59 4.80059 0.452696 4.55056
60 4.88265 0.495212 4.94167
61 4.96471 0.477038 5.33111
62 5.04677 0.478589 5.735
63 5.12883 0.514519 6.18333
64 5.21089 0.486715 6.62111
65 5.29296 0.516725 7.10056
66 5.37502 0.496986 7.57611
67 5.45708 0.551301 8.12
68 5.53914 0.568625 8.69778
69 5.6212 0.572886 9.29722
70 5.70326 0.546097 9.88556
71 5.78532 0.57682 10.525
72 5.86739 0.544653 11.1461
73 5.94945 0.562499 11.8056
74 6.03151 0.603945 12.5333
75 6.11357 0.599913 13.2761
76 6.19563 0.6187 14.0628
77 6.27769 0.616665 14.8678
78 6.35975 0.651929 15.7411
79 6.44181 0.616015 16.5878
80 6.52388 0.658202 17.5156
81 6.60594 0.695251 18.5206
82 6.688 0.695987 19.5517
83 6.77006 0.694959 20.6067
84 6.85212 0.704897 21.7028
85 6.93418 0.699133 22.8161
86 7.01624 0.744705 24.0306
87 7.09831 0.709436 25.2144
88 7.18037 0.732626 26.4656
89 7.26243 0.773673 27.8172
90 7.34449 0.759009 29.1733
91 7.42655 0.754538 30.5517
92 7.50861 0.747886 31.9483
93 7.59067 0.747974 33.3756
94 7.67273 0.774689 34.8861
95 7.7548 0.787898 36.4556
96 7.83686 0.786016 38.0544
97 7.91892 0.801079 39.7183
98 8.00098 0.818042 41.4528
99 8.08304 0.825695 43.2394
100 8.1651 0.837458 45.0889
101 8.24716 0.852619 47.0094
102 8.32923 0.844808 48.9506
103 8.41129 0.853716 50.9511
104 8.49335 0.84755 52.9761
105 8.57541 0.86399 55.0806
106 8.65747 0.873143 57.2483
107 8.73953 0.850105 59.3989
108 8.82159 0.891015 61.6956
109 8.90365 0.893467 64.0417
110 8.98572 0.891241 66.425
111 9.06778 0.895476 68.8639
112 9.14984 0.901933 71.365
113 9.2319 0.913558 73.9439
114 9.31396 0.909657 76.5578
115 9.39602 0.90316 79.1989
116 9.47808 0.903938 81.8883
117 9.56015 0.910597 84.645
118 9.64221 0.912578 87.455
119 9.72427 0.866712 90.1694
120 9.80633 0.880597 92.9744
121 9.88839 0.90546 95.9072
122 9.97045 0.89695 98.8606
123 10.0525 0.88483 101.822
124 10.1346 0.905497 104.902
125 10.2166 0.917387 108.074
126 10.2987 0.906961 111.26
127 10.3808 0.911648 114.514
128 10.4628 0.900612 117.779
129 10.5449 0.91564 121.152
130 10.6269 0.915362 124.576
131 10.709 0.913692 128.046
132 10.7911 0.897701 131.508
133 10.8731 0.920535 135.113
134 10.9552 0.921894 138.778
135 11.0372 0.909612 142.448
136 11.1193 0.925876 146.24
137 11.2014 0.9257 150.087
138 11.2834 0.92964 154.008
139 11.3655 0.962546 158.126
140 11.4476 0.960174 162.293
141 11.5296 0.961138 166.525
142 11.6117 0.95936 170.809
143 11.6937 0.943024 175.081
144 11.7758 0.96531 179.514
145 11.8579 0.965689 184.011
146 11.9399 0.953664 188.514
147 12.022 0.960372 193.111
148 12.104 0.969502 197.816
149 12.1861 0.992137 202.696
150 12.2682 0.988438 207.623
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0.00503477 0.00111111
33 2.66699 0.0071034 0.00277778
34 2.74905 0.028983 0.01
35 2.83112 0.0567325 0.025
36 2.91318 0.065489 0.0433333
37 2.99524 0.112691 0.0766667
38 3.0773 0.165384 0.128333
39 3.15936 0.175633 0.186111
40 3.24142 0.206901 0.257778
41 3.32348 0.190804 0.327222
42 3.40555 0.25421 0.424444
43 3.48761 0.275653 0.535
44 3.56967 0.304396 0.662778
45 3.65173 0.327281 0.806667
46 3.73379 0.325173 0.956111
47 3.81585 0.37521 1.13611
48 3.89791 0.337368 1.305
49 3.97997 0.370304 1.49833
50 4.06204 0.391451 1.71111
51 4.1441 0.397477 1.93611
52 4.22616 0.411542 2.17833
53 4.30822 0.417851 2.43389
54 4.39028 0.444223 2.71611
55 4.47234 0.460943 3.02
56 4.5544 0.467429 3.33944
57 4.63647 0.477473 3.67778
58 4.71853 0.490717 4.03778
59 4.80059 0.483593 4.405
60 4.88265 0.481668 4.78333
61 4.96471 0.494502 5.185
62 5.04677 0.519481 5.62111
63 5.12883 0.519803 6.07167
64 5.21089 0.512753 6.53056
65 5.29296 0.520711 7.01111
66 5.37502 0.524508 7.51056
67 5.45708 0.516317 8.01722
68 5.53914 0.538516 8.56167
69 5.6212 0.558748 9.14333
70 5.70326 0.579347 9.76444
71 5.78532 0.527352 10.3461
72 5.86739 0.592098 11.0178
73 5.94945 0.562993 11.6744
74 6.03151 0.612174 12.4083
75 6.11357 0.580156 13.1228
76 6.19563 0.595624 13.8761
77 6.27769 0.608753 14.6667
78 6.35975 0.629476 15.5056
79 6.44181 0.644729 16.3872
80 6.52388 0.651609 17.3011
81 6.60594 0.654507 18.2422
82 6.688 0.667683 19.2267
83 6.77006 0.702586 20.2878
84 6.85212 0.678615 21.3378
85 6.93418 0.71061 22.4639
86 7.01624 0.692765 23.5878
87 7.09831 0.699914 24.75
88 7.18037 0.717123 25.9683
89 7.26243 0.755745 27.2817
90 7.34449 0.75624 28.6256
91 7.42655 0.747944 29.985
92 7.50861 0.773651 31.4222
93 7.59067 0.763573 32.8722
94 7.67273 0.772847 34.3717
95 7.7548 0.792876 35.9428
96 7.83686 0.771866 37.505
97 7.91892 0.826188 39.2122
98 8.00098 0.806129 40.9128
99 8.08304 0.810985 42.6589
100 8.1651 0.842088 44.5089
101 8.24716 0.811374 46.3272
102 8.32923 0.822435 48.2072
103 8.41129 0.851082 50.1917
104 8.49335 0.822662 52.1472
105 8.57541 0.864628 54.2422
106 8.65747 0.882854 56.4228
107 8.73953 0.865528 58.6011
108 8.82159 0.893218 60.8917
109 8.90365 0.866707 63.1556
110 8.98572 0.868398 65.4661
111 9.06778 0.903137 67.9133
112 9.14984 0.880207 70.3417
113 9.2319 0.891257 72.8444
114 9.31396 0.879936 75.36
115 9.39602 0.930226 78.0661
116 9.47808 0.885648 80.6878
117 9.56015 0.89468 83.3822
118 9.64221 0.890338 86.1094
119 9.72427 0.900112 88.9144
120 9.80633 0.87324 91.6817
121 9.88839 0.896333 94.5694
122 9.97045 0.896771 97.5072
123 10.0525 0.911552 100.542
124 10.1346 0.89346 103.566
125 10.2166 0.867168 106.549
126 10.2987 0.892563 109.668
127 10.3808 0.895749 112.849
128 10.4628 0.906026 116.117
