# Time-averaged data for fix thermo_detailed
# TimeStep v_temp v_press v_pe v_ke v_vol v_dens
600100 300.824 157.736 -20433.4 3365.32 54968.3 1.03783
600200 295 -409.34 -20470.7 3300.16 55203.9 1.0334
600300 303.713 157.282 -20445.1 3397.63 55054.5 1.0362
600400 301.138 140.493 -20504.8 3368.83 54987 1.03747
600500 296.537 -28.4763 -20529.3 3317.36 55040.2 1.03647
600600 304.028 -119.197 -20496.2 3401.15 55026 1.03674
600700 298.936 182.132 -20491.4 3344.19 54973.4 1.03773
600800 299.134 21.9916 -20479.2 3346.41 55086.9 1.03559
600900 302.537 -82.3121 -20437.3 3384.48 55204.4 1.03339
601000 297.56 -232.658 -20494.5 3328.79 55239.9 1.03272
601100 295.665 396.756 -20639.6 3307.6 55042.1 1.03643
601200 295.9 -273.755 -20665 3310.23 55214.9 1.03319
601300 297.507 -185.889 -20546 3328.21 55259.4 1.03236
601400 301.108 -26.3 -20515.1 3368.49 55117.3 1.03502
601500 301.775 229.172 -20450.2 3375.95 55032.5 1.03661
601600 304.252 -237.884 -20401.7 3403.66 55150.8 1.03439
601700 299.53 81.6876 -20453.4 3350.83 55187.2 1.03371
601800 298.8 -88.2809 -20441.2 3342.67 55175.8 1.03392
601900 303.847 211.711 -20429.2 3399.13 55129.2 1.0348
602000 298.688 -154.114 -20455.6 3341.42 55205.8 1.03336
602100 297.978 223.654 -20489.6 3333.48 55192.7 1.03361
602200 302.163 -218.722 -20417.5 3380.29 55459.5 1.02863
602300 299.345 -256.035 -20419.6 3348.77 55603.9 1.02596
602400 298.798 -158.238 -20452.7 3342.64 55408.5 1.02959
602500 301.572 221.188 -20462.6 3373.68 54969.2 1.03781
602600 299.108 415.251 -20543.7 3346.12 54929.5 1.03856
602700 299.66 -116.202 -20493.3 3352.29 55408.1 1.02959
602800 299.917 -338.794 -20420.1 3355.16 55580.6 1.02639
602900 299.451 -87.1995 -20377 3349.96 55211.2 1.03327
603000 303.258 473.645 -20367.7 3392.54 54883.1 1.03944
