# Time-averaged data for fix rdf_OO_avg
# TimeStep Number-of-rows
# Row c_rdf_OO[1] c_rdf_OO[2] c_rdf_OO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0.000568862 0.000111919
31 2.50287 0.0485161 0.0102966
32 2.58493 0.566099 0.137101
33 2.66699 1.9914 0.611863
34 2.74905 3.19358 1.42071
35 2.83112 3.03999 2.23716
36 2.91318 2.20307 2.86368
37 2.99524 1.54606 3.3286
38 3.0773 1.13018 3.6873
39 3.15936 0.889172 3.98478
40 3.24142 0.807972 4.26928
41 3.32348 0.772357 4.55523
42 3.40555 0.790175 4.86234
43 3.48761 0.806131 5.19093
44 3.56967 0.840018 5.54964
45 3.65173 0.87502 5.94068
46 3.73379 0.922063 6.37157
47 3.81585 0.95414 6.83716
48 3.89791 1.00186 7.34729
49 3.97997 1.01275 7.88495
50 4.06204 1.05753 8.46973
51 4.1441 1.09723 9.10118
52 4.22616 1.11293 9.76732
53 4.30822 1.13174 10.4713
54 4.39028 1.12238 11.1963
55 4.47234 1.13562 11.9575
56 4.5544 1.13808 12.7485
57 4.63647 1.11711 13.5532
58 4.71853 1.08747 14.3646
59 4.80059 1.07719 15.1965
60 4.88265 1.05129 16.0364
61 4.96471 1.01518 16.8749
62 5.04677 0.993244 17.7226
63 5.12883 0.97327 18.5805
64 5.21089 0.957699 19.452
65 5.29296 0.930732 20.3258
66 5.37502 0.919085 21.2157
67 5.45708 0.92015 22.134
68 5.53914 0.913151 23.0729
69 5.6212 0.921907 24.049
70 5.70326 0.885303 25.014
71 5.78532 0.896512 26.0196
72 5.86739 0.904106 27.0628
73 5.94945 0.926986 28.1624
74 6.03151 0.949793 29.3204
75 6.11357 0.973143 30.5393
76 6.19563 1.00209 31.8285
77 6.27769 1.01341 33.167
78 6.35975 1.02216 34.5524
79 6.44181 1.02293 35.9749
80 6.52388 1.05526 37.4799
81 6.60594 1.0574 39.0262
82 6.688 1.05595 40.609
83 6.77006 1.06326 42.2421
84 6.85212 1.06842 43.9231
85 6.93418 1.07187 45.6503
86 7.01624 1.0574 47.3946
87 7.09831 1.04401 49.1574
88 7.18037 1.0264 50.9308
89 7.26243 1.03147 52.7539
90 7.34449 1.00634 54.573
91 7.42655 0.996639 56.4151
92 7.50861 0.995877 58.2968
93 7.59067 0.990383 60.2092
94 7.67273 0.999359 62.1806
95 7.7548 0.985933 64.1675
96 7.83686 0.986561 66.198
97 7.91892 0.980044 68.2576
98 8.00098 0.967743 70.3336
99 8.08304 0.980282 72.4799
100 8.1651 0.978814 74.6668
101 8.24716 0.97095 76.8799
102 8.32923 0.988672 79.1784
103 8.41129 0.993165 81.5331
104 8.49335 0.991946 83.9309
105 8.57541 1.00201 86.4003
106 8.65747 0.990588 88.8885
107 8.73953 0.995118 91.4356
108 8.82159 1.00364 94.0529
109 8.90365 0.996165 96.6994
110 8.98572 1.01151 99.4364
111 9.06778 0.99535 102.179
112 9.14984 0.997197 104.976
113 9.2319 1.00235 107.839
114 9.31396 0.993936 110.729
115 9.39602 1.00267 113.695
116 9.47808 1.01255 116.743
117 9.56015 1.00184 119.812
118 9.64221 1.00845 122.954
119 9.72427 1.00056 126.125
120 9.80633 0.990678 129.318
121 9.88839 0.992878 132.571
122 9.97045 0.99216 135.876
123 10.0525 0.995777 139.248
124 10.1346 0.99622 142.677
125 10.2166 0.997963 146.168
126 10.2987 0.997417 149.713
127 10.3808 1.00884 153.356
128 10.4628 0.999961 157.024
129 10.5449 1.00377 160.765
130 10.6269 0.99682 164.537
131 10.709 1.00406 168.396
132 10.7911 1.00775 172.328
133 10.8731 0.997368 176.279
134 10.9552 1.00322 180.314
135 11.0372 1.00232 184.406
136 11.1193 1.00302 188.562
137 11.2014 0.989106 192.721
138 11.2834 1.01037 197.032
139 11.3655 1.0083 201.397
140 11.4476 1.00848 205.826
141 11.5296 1.00178 210.288
142 11.6117 0.997718 214.796
143 11.6937 0.993593 219.349
144 11.7758 1.00275 224.009
145 11.8579 0.993099 228.688
146 11.9399 1.00047 233.468
147 12.022 0.995386 238.289
148 12.104 0.992056 243.16
149 12.1861 0.997352 248.123
150 12.2682 1.00078 253.171
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0.0440899 0.00928931
32 2.58493 0.583644 0.140347
33 2.66699 1.95259 0.607163
34 2.74905 3.17923 1.41477
35 2.83112 2.97028 2.215
36 2.91318 2.27369 2.86357
37 2.99524 1.51891 3.32166
38 3.0773 1.13278 3.68226
39 3.15936 0.892414 3.98165
40 3.24142 0.812082 4.26838
41 3.32348 0.79143 4.56228
42 3.40555 0.799137 4.87387
43 3.48761 0.821655 5.20985
44 3.56967 0.8288 5.56486
45 3.65173 0.865928 5.95299
46 3.73379 0.934564 6.39093
47 3.81585 0.952251 6.85697
48 3.89791 0.967712 7.3512
49 3.97997 1.03155 7.90039
50 4.06204 1.07089 8.49435
51 4.1441 1.11322 9.13688
52 4.22616 1.09889 9.79653
53 4.30822 1.12151 10.4963
54 4.39028 1.15171 11.2423
55 4.47234 1.13583 12.0059
56 4.5544 1.12815 12.7925
57 4.63647 1.13314 13.6112
58 4.71853 1.09023 14.427
59 4.80059 1.06064 15.2486
60 4.88265 1.04826 16.0885
61 4.96471 1.02379 16.9367
62 5.04677 0.999626 17.7924
63 5.12883 0.986803 18.6648
64 5.21089 0.960709 19.5417
65 5.29296 0.924816 20.4125
66 5.37502 0.905354 21.2917
67 5.45708 0.911184 22.2037
68 5.53914 0.902156 23.134
69 5.6212 0.906022 24.0963
70 5.70326 0.895579 25.0754
71 5.78532 0.90117 26.0893
72 5.86739 0.90917 27.1414
73 5.94945 0.914299 28.2291
74 6.03151 0.94965 29.3904
75 6.11357 0.968015 30.6064
76 6.19563 1.00659 31.9051
77 6.27769 1.00727 33.2395
78 6.35975 1.0356 34.6473
79 6.44181 1.03602 36.0923
80 6.52388 1.05164 37.5966
81 6.60594 1.05906 39.1501
82 6.688 1.0654 40.7518
83 6.77006 1.06444 42.3916
84 6.85212 1.06516 44.0725
85 6.93418 1.05736 45.7813
86 7.01624 1.04686 47.5134
87 7.09831 1.04137 49.277
88 7.18037 1.0328 51.0667
89 7.26243 1.03094 52.8942
90 7.34449 1.01862 54.7409
91 7.42655 1.01247 56.6178
92 7.50861 1.00235 58.5172
93 7.59067 0.993554 60.4413
94 7.67273 0.978159 62.3769
95 7.7548 0.978527 64.3548
96 7.83686 0.973267 66.3639
97 7.91892 0.976518 68.4222
98 8.00098 0.980296 70.5315
99 8.08304 0.979946 72.6834
100 8.1651 0.97966 74.8786
101 8.24716 0.973887 77.105
102 8.32923 0.989819 79.413
103 8.41129 0.999305 81.7893
104 8.49335 1.01119 84.241
105 8.57541 0.980545 86.6645
106 8.65747 0.999469 89.1824
107 8.73953 1.00363 91.759
108 8.82159 0.989745 94.3477
109 8.90365 0.995552 97.0003
110 8.98572 0.999679 99.7134
111 9.06778 1.013 102.513
112 9.14984 0.992107 105.305
113 9.2319 1.00322 108.179
114 9.31396 1.00366 111.105
115 9.39602 0.993402 114.053
116 9.47808 0.995766 117.059
117 9.56015 0.997352 120.123
118 9.64221 0.997899 123.241
119 9.72427 0.995354 126.405
120 9.80633 0.993747 129.617
121 9.88839 0.99465 132.886
122 9.97045 1.00293 136.237
123 10.0525 0.996146 139.62
124 10.1346 1.00937 143.105
125 10.2166 1.00382 146.626
126 10.2987 1.00109 150.195
127 10.3808 1.00831 153.847
128 10.4628 1.00184 157.533
129 10.5449 1.00759 161.299
