# Time-averaged data for fix msd_avg
# TimeStep c_msd_water[1] c_msd_water[2] c_msd_water[3] c_msd_water[4]
601000 0.679364 0.681361 0.657372 2.0181
602000 1.56994 1.72541 1.56971 4.86505
603000 2.46892 2.6285 2.67875 7.77617
604000 3.1485 3.53368 3.68353 10.3657
605000 3.84664 4.49407 4.4658 12.8065
606000 4.65553 5.60508 5.38946 15.6501
607000 5.68292 6.29447 6.33918 18.3166
608000 6.4037 7.51906 7.35924 21.282
609000 7.33722 8.35276 7.96995 23.6599
610000 8.17683 9.32684 8.70378 26.2075
611000 9.12058 10.0846 9.16941 28.3746
612000 9.89921 10.9585 10.1538 31.0115
613000 10.745 12.2079 11.2 34.1529
614000 11.5738 13.3849 12.0244 36.983
615000 12.7804 14.4656 12.5864 39.8323
616000 13.6306 15.3203 13.142 42.0929
617000 14.545 16.3229 14.2659 45.1338
618000 15.0825 17.329 15.1716 47.5832
619000 15.7864 18.2686 15.945 49.9999
620000 16.5981 19.0725 16.7007 52.3712
621000 17.3029 19.5043 17.4724 54.2796
622000 18.158 20.5374 18.7188 57.4142
623000 18.7883 20.9995 19.3615 59.1493
624000 19.2693 21.6561 19.8109 60.7362
625000 19.8494 22.4783 20.9582 63.2859
626000 20.9285 23.9854 22.1222 67.0361
627000 21.817 25.7373 22.8488 70.4031
628000 22.5465 26.9628 24.1644 73.6737
629000 23.2189 27.8183 24.5016 75.5388
630000 24.2034 27.7066 25.1108 77.0208
631000 25.0504 28.3965 26.1571 79.604
632000 25.8733 29.1719 26.3951 81.4403
633000 26.5981 29.7277 26.7807 83.1065
634000 27.1451 30.6296 27.6481 85.4228
635000 27.9005 31.5782 28.3579 87.8366
636000 28.2802 32.5416 29.4312 90.253
637000 29.0838 33.2625 30.7898 93.1361
638000 29.7565 33.9038 31.2531 94.9134
639000 30.4567 34.2724 31.3375 96.0666
640000 32.076 35.8798 32.1212 100.077
641000 32.8761 37.0884 33.1769 103.141
642000 33.1944 37.53 33.8483 104.573
643000 33.7137 38.2973 34.6969 106.708
644000 34.7215 38.5386 36.0641 109.324
645000 35.3552 38.7714 36.6306 110.757
646000 36.0028 39.4161 37.3911 112.81
647000 36.5808 39.9564 38.8225 115.36
648000 37.7201 40.4743 39.288 117.482
649000 38.2777 41.1147 39.5811 118.974
650000 38.8648 42.4038 40.3629 121.632
651000 39.5678 43.1978 41.1594 123.925
652000 40.3086 43.6659 41.5691 125.544
653000 41.0832 44.3325 42.2889 127.705
654000 42.1535 45.7232 42.8005 130.677
655000 43.3583 46.559 43.4812 133.399
656000 44.3038 46.8888 44.3565 135.549
657000 45.5643 47.5959 45.0038 138.164
658000 46.4523 48.1465 45.77 140.369
659000 47.106 49.2018 46.2343 142.542
660000 47.6071 49.8676 47.0951 144.57
661000 48.0969 50.0725 47.3052 145.475
662000 48.9322 50.3588 47.4833 146.774
663000 49.6443 50.9043 48.1019 148.651
664000 50.4326 52.3246 48.7071 151.464
665000 50.7618 52.9125 49.6394 153.314
666000 51.4312 53.3445 50.793 155.569
667000 52.115 54.1539 51.7254 157.994
668000 52.7131 54.5379 52.1367 159.388
669000 53.0806 55.5976 53.0326 161.711
670000 54.2282 55.5117 54.7392 164.479
671000 54.8905 55.7894 56.1929 166.873
672000 55.3945 56.534 56.9599 168.888
673000 55.8438 57.5042 57.7523 171.1
674000 56.603 58.4413 58.892 173.936
675000 57.1238 58.9207 59.4735 175.518
676000 57.8234 59.849 59.6617 177.334
677000 58.492 60.7043 60.4835 179.68
678000 59.796 62.2213 61.7354 183.753
679000 60.8561 63.3859 62.8821 187.124
680000 60.9438 64.251 64.0146 189.209
681000 60.9443 65.5623 65.1741 191.681
682000 61.8567 66.2938 65.5273 193.678
683000 62.9418 66.5898 66.0642 195.596
684000 63.5672 66.8037 66.8732 197.244
685000 64.2976 67.9813 67.9106 200.189
686000 64.743 69.0105 68.4656 202.219
687000 64.3294 69.1409 69.5544 203.025
688000 64.8011 70.102 70.1645 205.068
689000 66.5002 70.8691 70.5135 207.883
690000 67.9589 72.3826 71.3509 211.692
691000 68.7506 73.2625 72.3867 214.4
692000 69.9456 74.234 72.6551 216.835
693000 71.2247 74.6274 73.3128 219.165
694000 71.934 75.3507 74.7796 222.064
695000 72.1005 75.8985 75.629 223.628
696000 73.0577 76.3553 76.1539 225.567
697000 74.5266 77.1343 77.4095 229.07
698000 75.7861 78.249 78.2264 232.261
699000 76.8317 79.0907 79.0667 234.989
700000 77.9846 79.3215 79.1583 236.464
701000 77.8399 80.0535 79.525 237.418
702000 78.9242 80.7482 80.7974 240.47
703000 79.5481 81.9861 81.2735 242.808
704000 79.9055 82.6714 81.901 244.478
705000 80.1091 83.2554 83.0128 246.377
706000 80.391 84.0462 83.9735 248.411
707000 80.8051 85.1868 85.3466 251.339
708000 80.8529 85.2054 85.811 251.869
709000 81.2946 85.6843 86.4791 253.458
710000 82.6625 86.25 87.4654 256.378
711000 83.791 86.5351 88.161 258.487
712000 84.0213 87.0733 90.0883 261.183
713000 84.8411 87.7264 91.6612 264.229
714000 85.3807 89.1876 92.7341 267.302
715000 85.6064 89.8765 93.4245 268.907
716000 85.3669 91.0096 93.827 270.203
717000 85.002 91.917 93.9803 270.899
718000 85.7572 93.8801 96.4823 276.12
719000 86.3621 94.6159 97.2185 278.197
720000 87.016 95.2559 98.1187 280.391
721000 87.6272 95.537 99.1498 282.314
722000 87.7328 95.9058 99.3133 282.952
723000 88.2072 96.651 100.485 285.343
724000 88.7165 97.5408 101.693 287.95
725000 89.2879 97.7009 102.419 289.408
726000 90.8957 97.9384 103.339 292.173
727000 91.4495 98.6743 103.797 293.921
728000 92.408 98.5448 103.819 294.772
729000 93.383 99.2343 104.925 297.542
730000 94.404 100.39 105.649 300.442
731000 95.4552 100.999 106.558 303.012
