# Time-averaged data for fix thermo_avg
# TimeStep v_epsilon_co v_temp v_press v_pe v_ke v_etotal v_vol v_dens
601000 0.8 301.72 -68.8225 -21635.8 3375.33 -18260.5 53752.4 1.06131
602000 0.8 297.802 161.393 -21621.5 3331.5 -18290 53750.4 1.06136
603000 0.8 300.054 2.01414 -21665.8 3356.7 -18309.1 54021.6 1.05603
604000 0.8 302.108 9.7216 -21688.6 3379.68 -18308.9 54060.3 1.05527
605000 0.8 299.09 -165.621 -21692.6 3345.92 -18346.7 54117.7 1.05417
606000 0.8 298.162 118.613 -21690.5 3335.53 -18355 53674.9 1.06284
607000 0.8 301.153 90.4768 -21661.6 3368.99 -18292.6 53832 1.05974
608000 0.8 300.605 -68.5971 -21662.7 3362.86 -18299.8 53842.1 1.05955
609000 0.8 298.964 112.655 -21695.7 3344.5 -18351.2 53581.4 1.06472
610000 0.8 300.353 -108.89 -21690.8 3360.04 -18330.7 53555 1.06524
611000 0.8 299.366 302.32 -21666.9 3349 -18317.9 53551.6 1.0653
612000 0.8 301.849 108.429 -21710.2 3376.78 -18333.4 53835.2 1.05968
613000 0.8 300.51 -47.8846 -21659.8 3361.8 -18298 53649.6 1.06335
614000 0.8 299.432 125.372 -21625.4 3349.73 -18275.7 53671.7 1.06292
615000 0.8 298.83 -285.616 -21614.5 3343 -18271.5 54020 1.05606
616000 0.8 299.744 88.8502 -21683.1 3353.23 -18329.8 54155.4 1.05342
617000 0.8 303.106 -59.0286 -21681.1 3390.84 -18290.3 53780.8 1.06075
618000 0.8 300.911 -46.9494 -21747.2 3366.28 -18380.9 54289.1 1.05082
619000 0.8 300.165 54.2566 -21719 3357.94 -18361.1 54046 1.05554
620000 0.8 300.589 58.6904 -21747.7 3362.68 -18385 54197.4 1.0526
621000 0.8 299.291 -46.8343 -21784.7 3348.16 -18436.6 54083.9 1.05481
622000 0.8 299.269 219.982 -21661.4 3347.92 -18313.5 54196.9 1.05262
623000 0.8 300.671 99.3377 -21683.6 3363.6 -18320 54334.5 1.04998
624000 0.8 300.665 -81.8433 -21719.2 3363.53 -18355.7 53890 1.05865
625000 0.8 300.657 255.317 -21697.4 3363.45 -18334 54035.2 1.05576
626000 0.8 300.393 -19.4462 -21666 3360.49 -18305.5 53901.3 1.05837
627000 0.8 300.185 8.13176 -21722.2 3358.16 -18364 54204.6 1.05247
628000 0.8 301.279 69.2655 -21715.2 3370.4 -18344.8 53878.6 1.05882
629000 0.8 299.532 -111.978 -21732.3 3350.85 -18381.4 54137.4 1.05379
630000 0.8 299.956 -41.9827 -21698.1 3355.6 -18342.5 54034.9 1.05579
631000 0.8 301.006 -18.7927 -21714.3 3367.35 -18346.9 53970.1 1.05703
632000 0.8 300.84 200.884 -21710 3365.5 -18344.5 53774.6 1.06087
633000 0.8 299.743 -15.5136 -21674.5 3353.22 -18321.3 53697 1.06245
634000 0.8 299.502 -216.622 -21686 3350.52 -18335.5 53746.6 1.06145
635000 0.8 297.724 -51.5823 -21718.6 3330.63 -18388 53844.9 1.05949
636000 0.8 300.416 116.213 -21690.8 3360.75 -18330 53852.7 1.05935
637000 0.8 298.911 -166.745 -21656.5 3343.91 -18312.6 54105 1.05439
638000 0.8 300.259 -12.6354 -21695.7 3358.99 -18336.7 54355.4 1.04953
639000 0.8 301.06 27.9094 -21705 3367.95 -18337 54016.4 1.05614
640000 0.8 299.102 -180.667 -21699 3346.04 -18353 53867.5 1.05906
641000 0.8 299.208 -56.6362 -21717.2 3347.24 -18369.9 53820.5 1.05997
642000 0.8 299.025 -23.0726 -21655.6 3345.19 -18310.4 53837.7 1.05963
643000 0.8 300.879 97.182 -21709.3 3365.93 -18343.4 53823.2 1.05993
644000 0.8 302.532 91.5465 -21792.1 3384.42 -18407.7 54084.2 1.05482
645000 0.8 299.808 89.6522 -21733.3 3353.95 -18379.4 53932.3 1.05778
646000 0.8 299.162 -43.9966 -21690.5 3346.72 -18343.8 53618.3 1.06396
647000 0.8 300.209 -102.294 -21696.9 3358.44 -18338.5 53654.4 1.06325
648000 0.8 300.599 49.7768 -21635 3362.79 -18272.2 53845.5 1.05948
649000 0.8 300.355 117.068 -21601.1 3360.07 -18241 53659.6 1.06316
650000 0.8 300.402 -88.765 -21662.7 3360.59 -18302.1 53951.7 1.05742
651000 0.8 300.266 3.37045 -21672.6 3359.07 -18313.6 53900.4 1.05839
652000 0.8 302.066 66.8606 -21668.8 3379.21 -18289.6 53978.6 1.0569
653000 0.8 299.682 102.821 -21668.5 3352.54 -18315.9 54021.6 1.05602
654000 0.8 298.63 -30.1641 -21643.1 3340.77 -18302.4 54045.6 1.05558
655000 0.8 301.263 34.566 -21633.8 3370.22 -18263.5 54353.6 1.04957
