# Time-averaged data for fix thermo_avg_npt
# TimeStep v_epsilon_co v_temp v_press v_pe v_ke v_etotal v_vol v_dens
101000 0.85 299.461 -147.636 -21724.5 3350.07 -18374.4 53841.1 1.05955
102000 0.85 300.134 -18.7107 -21805.4 3357.59 -18447.8 53410.4 1.06811
103000 0.85 299.083 199.069 -21793.9 3345.83 -18448.1 53487.7 1.06658
104000 0.85 300.818 -429.948 -21794.7 3365.25 -18429.5 54099.2 1.0545
105000 0.85 300.242 40.6518 -21826.6 3358.8 -18467.8 53625.4 1.06382
106000 0.85 300.963 -55.1984 -21808.4 3366.87 -18441.5 53474.1 1.06682
107000 0.85 299.188 -107.332 -21765.1 3347.01 -18418 53721.6 1.06191
108000 0.85 301.307 -126.245 -21800.5 3370.71 -18429.8 54064.9 1.05517
109000 0.85 301.804 43.5247 -21792.7 3376.27 -18416.4 54018.4 1.05607
110000 0.85 297.878 -177.713 -21787.4 3332.35 -18455.1 53670.5 1.06294
111000 0.85 300.386 244.572 -21814.8 3360.41 -18454.4 53187.9 1.07257
112000 0.85 300.888 128.108 -21813.4 3366.03 -18447.4 53348.9 1.06934
113000 0.85 301.4 -328.298 -21762.9 3371.75 -18391.2 53830.1 1.05977
114000 0.85 300.699 138.046 -21845.6 3363.91 -18481.7 53335.5 1.06961
115000 0.85 301.548 151.255 -21747.3 3373.41 -18373.9 53314.5 1.07003
116000 0.85 298.584 -180.064 -21780.8 3340.25 -18440.6 53702.8 1.06228
117000 0.85 301.647 11.6596 -21788.5 3374.52 -18414 53447.7 1.06736
118000 0.85 300.141 -1.93426 -21746.5 3357.67 -18388.8 53383.2 1.06864
119000 0.85 300.592 -202.799 -21738.8 3362.72 -18376.1 53940.4 1.05761
120000 0.85 299.633 131.259 -21756.8 3351.99 -18404.8 53927.5 1.05786
121000 0.85 301.426 82.827 -21784.6 3372.05 -18412.6 53714.5 1.06205
122000 0.85 300.262 77.2757 -21718.4 3359.03 -18359.4 53908.2 1.05824
123000 0.85 300.573 -315.763 -21783 3362.51 -18420.5 53984.2 1.05674
124000 0.85 299.703 195.429 -21811.8 3352.77 -18459 53888.7 1.05862
125000 0.85 300.531 -30.9629 -21764 3362.04 -18402 54145.4 1.0536
126000 0.85 300.303 46.4484 -21836.9 3359.49 -18477.5 53925.9 1.0579
127000 0.85 298.535 250.398 -21851.5 3339.7 -18511.8 53698.8 1.06236
